id,created_at,resolved_at,hold_hours,token,direction,trade_type,kronos,conviction,archetype,edge_source,leverage,entry_price,stop_loss,tp1_price,tp2_price,tp3_price,exit_price,outcome,pnl_pct,planned_risk_pct,realized_R
863,2026-04-21T17:39:39,2026-04-22T19:18:50,25.65,HBAR,LONG,,false,31,,,2x,0.08926,0.0879,0.0915,,,0.0915,TP1_HIT,2.5095,1.5236,1.6471
889,2026-04-22T14:16:06,2026-04-22T19:28:50,5.21,TIA,LONG,,false,59,,,2x,0.38432,0.3786,0.3939,,,0.3786,SL_HIT,-1.4883,1.4883,-1
872,2026-04-22T11:57:56,2026-04-22T19:29:50,7.53,TIA,LONG,,false,42,,,2x,0.3862,0.3782,0.3996,,,0.3782,SL_HIT,-2.0715,2.0715,-1
870,2026-04-22T11:54:01,2026-04-22T19:35:50,7.7,DOGE,LONG,,false,30,,,2x,0.097849,0.0964,0.1003,,,0.0964,SL_HIT,-1.4809,1.4809,-1
880,2026-04-22T13:56:03,2026-04-22T19:35:50,5.66,DOGE,LONG,,false,33,,,2x,0.098079,0.0966,0.1005,,,0.0966,SL_HIT,-1.508,1.508,-1
869,2026-04-22T11:54:01,2026-04-22T19:36:50,7.71,WIF,SHORT,,false,33,,,2x,0.20039,0.2034,0.1954,,,0.1954,TP1_HIT,2.4901,1.5021,1.6577
887,2026-04-22T14:11:11,2026-04-22T20:00:50,5.83,BNB,LONG,,false,33,,,2x,651.63,641.86,667.92,,,641.86,SL_HIT,-1.4993,1.4993,-1
896,2026-04-22T20:11:42,2026-04-22T20:12:28,0.01,SEI,LONG,,false,53,,,3x,0.06417,0.0623,0.0674,,,0.0623,SL_HIT,-2.9141,2.9141,-1
897,2026-04-22T20:11:42,2026-04-22T20:12:28,0.01,JUP,LONG,,false,53,,,3x,0.1848,0.1764,0.1989,,,0.1764,SL_HIT,-4.5455,4.5455,-1
866,2026-04-22T11:45:39,2026-04-22T23:36:03,11.84,PENDLE,LONG,,false,40,,,2x,1.3462,1.326,1.38,,,1.326,SL_HIT,-1.5005,1.5005,-1
884,2026-04-22T13:57:03,2026-04-22T23:36:03,9.65,WIF,SHORT,,false,49,,,2x,0.19973,0.2038,0.193,,,0.193,TP1_HIT,3.3695,2.0378,1.6535
