id,source,token,direction,trade_type,entry_price,tp1_price,tp2_price,tp3_price,stop_loss,leverage,conviction,edge_score,kronos,kill_clock_hours,kill_clock_expires,outcome,pnl_pct,resolved_at,archetype,classification_source,scope,created_at
1227,signals_tab,JUP,SHORT,,0.19409000,0.17370000,,,0.20630000,2x,39,,f,24,2026-05-19 14:42:08.935,PENDING,,,,,global,2026-05-18 14:42:08.93894
1226,signals_tab,SUI,SHORT,,1.03390000,1.00800000,,,1.04900000,2x,29,,f,24,2026-05-19 14:42:08.707,PENDING,,,,,global,2026-05-18 14:42:08.709479
1225,signals_tab,TIA,LONG,,0.38550000,0.39920000,,,0.37730000,2x,54,,f,24,2026-05-19 14:26:39.632,PENDING,,,,,global,2026-05-18 14:26:39.634795
1224,signals_tab,UNI,LONG,,3.40180000,3.48700000,,,3.35100000,2x,37,,f,24,2026-05-19 14:24:18.876,PENDING,,,,,global,2026-05-18 14:24:18.877757
1223,signals_tab,WIF,SHORT,,0.18931000,0.18460000,,,0.19210000,2x,36,,f,24,2026-05-19 14:23:13.405,PENDING,,,,,global,2026-05-18 14:23:13.406778
1222,signals_tab,ARB,LONG,,0.11549000,0.11840000,,,0.11380000,2x,24,,f,24,2026-05-19 14:23:08.714,PENDING,,,,,global,2026-05-18 14:23:08.717465
1221,signals_tab,DOGE,LONG,,0.10454000,0.10720000,,,0.10300000,2x,31,,f,24,2026-05-19 14:23:08.271,PENDING,,,,,global,2026-05-18 14:23:08.289062
1220,signals_tab,TIA,SHORT,,0.37600000,0.35500000,,,0.38860000,3x,64,,f,24,2026-05-19 12:40:43.131,SL_HIT,-3.3511,2026-05-18 12:41:41.067,,,global,2026-05-18 12:40:43.13364
1219,signals_tab,RENDER,LONG,,1.77970000,1.82800000,,,1.75100000,2x,54,,f,24,2026-05-19 12:40:10.547,SL_HIT,-1.6126,2026-05-18 14:30:02.286,,,global,2026-05-18 12:40:10.550051
1218,signals_tab,TIA,LONG,,0.38765000,0.40340000,,,0.37820000,3x,54,,f,24,2026-05-19 12:18:35.641,PENDING,,,,,global,2026-05-18 12:18:35.64342
1217,signals_tab,UNI,LONG,,3.44350000,3.53000000,,,3.39200000,2x,53,,f,24,2026-05-19 12:17:40.62,SL_HIT,-1.4956,2026-05-18 14:32:02.295,,,global,2026-05-18 12:17:40.62193
1216,signals_tab,ARB,LONG,,0.11635000,0.11930000,,,0.11460000,2x,31,,f,24,2026-05-19 12:01:07.693,SL_HIT,-1.5041,2026-05-18 15:03:55.338,,,global,2026-05-18 12:01:07.696865
1215,signals_tab,DOGE,LONG,,0.10514000,0.10780000,,,0.10360000,2x,68,,f,24,2026-05-19 12:01:06.992,SL_HIT,-1.4647,2026-05-18 15:05:55.338,,,global,2026-05-18 12:01:06.996217
1214,signals_tab,SUI,SHORT,,1.04340000,1.01700000,,,1.05900000,2x,30,,f,24,2026-05-19 11:58:42.679,SL_HIT,-1.4951,2026-05-18 12:43:41.073,,,global,2026-05-18 11:58:42.681114
1213,signals_tab,WIF,SHORT,,0.19058000,0.18580000,,,0.19340000,2x,26,,f,24,2026-05-19 11:58:36.821,PENDING,,,,,global,2026-05-18 11:58:36.823699
1212,signals_tab,JUP,SHORT,,0.19517000,0.17250000,,,0.20880000,2x,43,,f,24,2026-05-19 11:58:28.69,PENDING,,,,,global,2026-05-18 11:58:28.692585
